PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\30-001-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 30-001-2026 12'30'20.isi
30/01/2026 12:30:20
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
2582 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
123,236	1769772743,707	30/01/2026_12:32:23,707	1	2	2,815253993e-06	2,190047098e-06	2,159963831e-12	6,816705186e-12	5,824489762e-12	1,179686904e-11	6,87112589e-11	9,116220279e-11	9,516115109e-13	9,526495532e-14	1,11412676e-11	6,182404306e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,677003432e-14	7,279566706e-12	7,499850621e-14	1,407300349e-14	4,999999912e-15	2,979722317e-14	1,074617617e-10	6,674710784e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,976503993e-09	39,58823177	0	0,264095425	30,22033341	0	30,64679723	0,2002982251	0,03322594307	0
128,972	1769772749,443	30/01/2026_12:32:29,443	1	2	2,80559766e-06	2,206895488e-06	2,152256671e-12	6,823660994e-12	5,824259044e-12	1,179754124e-11	6,855929019e-11	9,119514172e-11	9,51235076e-13	8,856122487e-14	1,108346227e-11	6,112941642e-13	4,999999912e-15	5,318365716e-15	4,999999912e-15	1,815928694e-14	7,267100983e-12	8,533643491e-14	1,007986995e-14	4,999999912e-15	3,041812543e-14	1,076273515e-10	6,67168959e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,60105087e-09	39,63164705	0	0,2406209406	30,18960569	0	30,62683473	0,1993187973	0,0307593826	0
134,708	1769772755,179	30/01/2026_12:32:35,179	1	2	2,81068219e-06	2,221323484e-06	2,156868434e-12	6,833819535e-12	5,797249833e-12	1,179163885e-11	6,876039321e-11	9,135343176e-11	9,545325684e-13	8,77375497e-14	1,113150717e-11	6,057827308e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,978817534e-14	7,24547115e-12	9,467994693e-14	4,999999912e-15	4,999999912e-15	2,217862429e-14	1,07494097e-10	6,668222224e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,839953078e-09	39,58897177	0	0,2518658495	30,26334258	0	30,61294308	0,1998884277	0,03055377378	0
140,444	1769772760,915	30/01/2026_12:32:40,915	1	2	2,812655111e-06	2,212825393e-06	2,148304755e-12	6,845921399e-12	5,804793278e-12	1,180317996e-11	6,858439511e-11	9,12040235e-11	9,542585905e-13	9,383932433e-14	1,114273691e-11	6,066126876e-13	1,219140281e-14	4,999999912e-15	4,999999912e-15	1,202841673e-14	7,274279703e-12	9,74405154e-14	8,303037077e-15	1,416275002e-14	2,083738997e-14	1,075607867e-10	6,667158492e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,012205328e-08	39,62310665	0	0,2456909425	30,20790297	0	30,61714478	0,1991197157	0,03297801011	0
146,18	1769772766,651	30/01/2026_12:32:46,651	1	2	2,820805094e-06	2,22473318e-06	2,163253951e-12	6,83766932e-12	5,815696015e-12	1,181479133e-11	6,854281726e-11	9,11602599e-11	9,495834024e-13	1,031071794e-13	1,114965585e-11	6,01846318e-13	2,163582695e-14	4,999999912e-15	6,4122139e-15	1,043252026e-14	7,288849212e-12	1,02305832e-13	4,999999912e-15	1,930358271e-14	1,561701072e-14	1,075482758e-10	6,661114021e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,574643601e-08	39,63249893	0	0,2436588968	30,2039302	0	30,60005058	0,2005279896	0,03602464367	0
151,916	1769772772,387	30/01/2026_12:32:52,387	1	2	2,826262516e-06	2,196773494e-06	2,171292009e-12	6,848110187e-12	5,820349411e-12	1,182756844e-11	6,86764326e-11	9,139938806e-11	9,465575025e-13	1,133917382e-13	1,11404835e-11	6,067582417e-13	2,575411638e-14	4,999999912e-15	2,018544735e-14	1,003766907e-14	7,291608289e-12	1,022796282e-13	7,243632641e-15	2,330545594e-14	1,659201171e-14	1,072971018e-10	6,654821832e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,792871666e-08	39,5504882	0	0,2316770149	30,28870616	0	30,58133995	0,2011623468	0,03932505331	0
157,652	1769772778,123	30/01/2026_12:32:58,123	1	2	2,808766567e-06	2,212825393e-06	2,182529981e-12	6,833065364e-12	5,822624501e-12	1,181685739e-11	6,862874852e-11	9,12698736e-11	9,403718039e-13	1,242244561e-13	1,112984965e-11	6,149715069e-13	2,717636093e-14	4,999999912e-15	3,362979993e-14	4,999999912e-15	7,299548986e-12	9,18543941e-14	1,623693042e-14	2,395545378e-14	1,5883799e-14	1,074779571e-10	6,668329777e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,883356732e-08	39,58493863	0	0,2425023644	30,22446618	0	30,61643066	0,202062295	0,04284327337	0
163,388	1769772783,859	30/01/2026_12:33:03,859	1	2	2,819032034e-06	2,234986823e-06	2,182195397e-12	6,838935234e-12	5,845099144e-12	1,185142869e-11	6,867884733e-11	9,118621136e-11	9,370335454e-13	1,350018594e-13	1,113455508e-11	6,284789312e-13	1,673655789e-14	4,999999912e-15	3,027986594e-14	4,999999912e-15	7,320572967e-12	8,565222235e-14	3,080763184e-14	2,180850986e-14	1,712073815e-14	1,075240383e-10	6,660948876e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,290919111e-08	39,60914548	0	0,2664002279	30,22435134	0	30,58517121	0,202260889	0,04654102761	0
169,124	1769772789,595	30/01/2026_12:33:09,595	1	2	2,811761988e-06	2,210285629e-06	2,189129737e-12	6,824126333e-12	5,841665259e-12	1,183499739e-11	6,862552193e-11	9,135445178e-11	9,451051053e-13	1,320099358e-13	1,111916722e-11	6,280850406e-13	1,200028083e-14	4,999999912e-15	2,624209715e-14	4,999999912e-15	7,330641302e-12	8,055893192e-14	3,321942602e-14	6,978781532e-15	2,397194381e-14	1,074524358e-10	6,673398639e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9,775955085e-09	39,55455627	0	0,2437410286	30,22480876	0	30,62506016	0,2026121114	0,04608715426	0
174,86	1769772795,331	30/01/2026_12:33:15,331	1	2	2,816749884e-06	2,236702585e-06	2,18410511e-12	6,820973907e-12	5,846636109e-12	1,181435505e-11	6,857558271e-11	9,103359039e-11	9,354586333e-13	1,388577296e-13	1,10963903e-11	6,336134417e-13	4,999999912e-15	6,465084002e-15	1,620152105e-14	4,999999912e-15	7,316012379e-12	7,26720794e-14	3,328782901e-14	4,999999912e-15	3,043558447e-14	1,073722569e-10	6,670630714e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,02973953e-09	39,58029692	0	0,2698313085	30,19026645	0	30,64950074	0,2026818358	0,04801899404	0
180,596	1769772801,067	30/01/2026_12:33:21,067	1	2	2,812093726e-06	2,232421366e-06	2,180208705e-12	6,808907604e-12	5,835138362e-12	1,179991001e-11	6,846868905e-11	9,111479626e-11	9,407128939e-13	1,212630663e-13	1,110149472e-11	6,342886828e-13	4,999999912e-15	8,680912028e-15	5,696725169e-15	4,999999912e-15	7,2952408e-12	6,753803652e-14	3,982275935e-14	4,999999912e-15	3,062960584e-14	1,076661885e-10	6,665339114e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,857462476e-09	39,65333372	0	0,2490184879	30,16312948	0	30,60357725	0,2020581193	0,04196647505	0
186,332	1769772806,803	30/01/2026_12:33:26,803	1	2	2,823229579e-06	2,228148333e-06	2,16388886e-12	6,802050243e-12	5,841699954e-12	1,179275601e-11	6,865748248e-11	9,115732474e-11	9,448393673e-13	1,107888195e-13	1,111363692e-11	6,295207411e-13	4,999999912e-15	1,617969471e-14	4,999999912e-15	6,412212205e-15	7,291479052e-12	6,809830477e-14	3,14731524e-14	4,999999912e-15	3,836898992e-14	1,073528488e-10	6,670491937e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,095093484e-09	39,56705768	0	0,2659703965	30,22532912	0	30,64368417	0,2008199493	0,03838304371	0
192,068	1769772812,539	30/01/2026_12:33:32,539	1	2	2,814890195e-06	2,217071597e-06	2,149815699e-12	6,809570702e-12	5,833451777e-12	1,178529323e-11	6,850662398e-11	9,104226401e-11	9,477653037e-13	1,038561395e-13	1,116462478e-11	6,25065917e-13	4,999999912e-15	1,05663989e-14	4,999999912e-15	7,52012283e-15	7,273607064e-12	7,327697612e-14	2,359747224e-14	4,999999912e-15	3,87822844e-14	1,074816555e-10	6,660470092e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,859255884e-09	39,63266324	0	0,251424502	30,18935647	0	30,6130366	0,1994866301	0,0362527024	0
197,804	1769772818,275	30/01/2026_12:33:38,275	1	2	2,813869514e-06	2,199297796e-06	2,134262819e-12	6,817011799e-12	5,826405764e-12	1,178240925e-11	6,858819762e-11	9,107237187e-11	9,526979899e-13	9,645242097e-14	1,109646663e-11	6,229495544e-13	4,999999912e-15	7,198521361e-15	4,999999912e-15	1,044658778e-14	7,269968915e-12	8,349508693e-14	1,570481246e-14	4,999999912e-15	2,985348649e-14	1,073348285e-10	6,673423619e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,029453579e-09	39,57845324	0	0,2629721538	30,20811709	0	30,67197557	0,1981512653	0,03392178593	0
