PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\30-001-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 30-001-2026 12'09'37.isi
30/01/2026 12:09:37
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
209 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
123,218	1769771500,270	30/01/2026_12:11:40,270	1	2	2,827459866e-06	2,189205588e-06	2,943833111e-12	6,929810458e-12	5,901700569e-12	1,197840958e-11	6,978559397e-11	9,254604028e-11	9,647198405e-13	1,250306553e-13	1,139858173e-11	6,320451974e-13	2,626538716e-14	4,999999912e-15	2,745673223e-14	6,125047708e-15	7,381668193e-12	1,017858351e-13	1,29393888e-14	2,840359648e-14	1,33390901e-14	1,102075445e-10	6,831953753e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,915968851e-08	39,72669391	0	0,2905520162	30,009934	0	30,69178127	0,2667610429	0,04315634055	0
128,954	1769771506,006	30/01/2026_12:11:46,006	1	2	2,828061042e-06	2,223026513e-06	2,947025436e-12	6,925055581e-12	5,914046163e-12	1,200882102e-11	6,962121851e-11	9,28007185e-11	9,620614852e-13	1,315752655e-13	1,139378435e-11	6,367077547e-13	2,549314553e-14	4,999999912e-15	3,33319662e-14	4,999999912e-15	7,390945495e-12	9,497538525e-14	2,556299526e-14	2,648270024e-14	1,521730435e-14	1,099939653e-10	6,792533896e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,776046747e-08	39,70794632	0	0,2347338636	30,0899475	0	30,5711973	0,2669623332	0,04523871118	0
134,69	1769771511,742	30/01/2026_12:11:51,742	1	2	2,831488018e-06	2,24959831e-06	2,942881399e-12	6,905500911e-12	5,916005099e-12	1,198322257e-11	6,981119849e-11	9,283095126e-11	9,552519366e-13	1,4259717e-13	1,13744951e-11	6,497592178e-13	1,546275247e-14	4,999999912e-15	3,355801219e-14	4,999999912e-15	7,406355043e-12	8,863542495e-14	3,393055083e-14	2,368575171e-14	2,121381141e-14	1,100675523e-10	6,785129403e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,219331031e-08	39,72083632	0	0,2616797919	30,12081751	0	30,52335139	0,2667475907	0,04847401971	0
140,426	1769771517,478	30/01/2026_12:11:57,478	1	2	2,836140084e-06	2,232421366e-06	2,933878401e-12	6,892676967e-12	5,912582056e-12	1,197907398e-11	6,972597499e-11	9,277188046e-11	9,580334573e-13	1,426311462e-13	1,136347873e-11	6,493799639e-13	6,534453459e-15	5,234451009e-15	2,320165544e-14	4,999999912e-15	7,391632445e-12	7,713816565e-14	3,793241898e-14	9,995953548e-15	2,308134966e-14	1,101244998e-10	6,802370472e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,872960185e-09	39,72091862	0	0,2599580868	30,07341286	0	30,58531272	0,2658351556	0,04881164791	0
146,162	1769771523,214	30/01/2026_12:12:03,214	1	2	2,828628794e-06	2,196773494e-06	2,917948001e-12	6,908859335e-12	5,926476324e-12	1,198000293e-11	6,974610472e-11	9,264807671e-11	9,567591944e-13	1,337178794e-13	1,136697507e-11	6,504688823e-13	4,999999912e-15	7,254786371e-15	1,153509627e-14	4,999999912e-15	7,383428938e-12	6,607310998e-14	4,027873412e-14	4,999999912e-15	2,712737024e-14	1,10212714e-10	6,784927481e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,158661239e-09	39,77972166	0	0,2664535956	30,07693488	0	30,52565691	0,2646877839	0,04555223502	0
151,898	1769771528,950	30/01/2026_12:12:08,950	1	2	2,829304094e-06	2,218773716e-06	2,902029528e-12	6,918091534e-12	5,931733837e-12	1,196857804e-11	6,98097205e-11	9,287437486e-11	9,533674848e-13	1,29746081e-13	1,137696534e-11	6,499876592e-13	4,999999912e-15	1,272255853e-14	4,999999912e-15	4,999999912e-15	7,394604026e-12	7,118388317e-14	3,947932476e-14	4,999999912e-15	3,446169809e-14	1,099596733e-10	6,788346968e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,06155993e-09	39,6906154	0	0,2529450379	30,13452104	0	30,54540095	0,263209865	0,04363647447	0
157,634	1769771534,686	30/01/2026_12:12:14,686	1	2	2,831022584e-06	2,207743819e-06	2,878465695e-12	6,896086133e-12	5,91913801e-12	1,19389108e-11	6,980803435e-11	9,268685125e-11	9,55747417e-13	1,119311688e-13	1,137713968e-11	6,44528647e-13	4,999999912e-15	1,413025445e-14	4,999999912e-15	4,999999912e-15	7,369326503e-12	6,550944683e-14	2,607086774e-14	4,999999912e-15	3,233029214e-14	1,097047522e-10	6,787853613e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,152750131e-09	39,66557547	0	0,2608750229	30,14480641	0	30,58924841	0,2615673256	0,03758360525	0
163,37	1769771540,422	30/01/2026_12:12:20,422	1	2	2,83153804e-06	2,247877319e-06	2,861350046e-12	6,886312701e-12	5,907239541e-12	1,194221111e-11	6,968604166e-11	9,263122214e-11	9,652363544e-13	1,052846707e-13	1,136773661e-11	6,311201019e-13	4,999999912e-15	1,151181642e-14	4,999999912e-15	6,517476378e-15	7,382640506e-12	6,941819895e-14	2,538885883e-14	4,999999912e-15	3,35847005e-14	1,099239519e-10	6,76588785e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,944743471e-09	39,7526541	0	0,2485371731	30,12451001	0	30,49994373	0,2599738933	0,03612658258	0
169,106	1769771546,158	30/01/2026_12:12:26,158	1	2	2,832824748e-06	2,190886335e-06	2,846559143e-12	6,898581532e-12	5,903221922e-12	1,192669401e-11	6,97622099e-11	9,25924476e-11	9,700098797e-13	9,812737781e-14	1,13455946e-11	6,341358645e-13	4,999999912e-15	8,954979702e-15	4,999999912e-15	8,908409831e-15	7,359848841e-12	8,002826239e-14	1,622723867e-14	4,999999912e-15	3,586309038e-14	1,098531197e-10	6,780516426e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,214965361e-09	39,72312566	0	0,26568443	30,122611	0	30,56003592	0,2587531133	0,03395999785	0
174,842	1769771551,894	30/01/2026_12:12:31,894	1	2	2,828322977e-06	2,208592377e-06	2,831555953e-12	6,914828085e-12	5,881441601e-12	1,194146084e-11	6,968080279e-11	9,247718563e-11	9,720885121e-13	9,459457279e-14	1,136603832e-11	6,22081271e-13	4,999999912e-15	8,443226112e-15	4,999999912e-15	9,490992316e-15	7,352883927e-12	8,692649871e-14	1,048054025e-14	4,999999912e-15	2,865341021e-14	1,097322788e-10	6,783974771e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,207337987e-09	39,71156271	0	0,2668633547	30,10721833	0	30,59947008	0,2575952413	0,03300996389	0
