Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
8750;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,83;179,96;861,18;180,06;829,01;852,54;77,88;0,75
8755;0,00;0,00;0,00;0,00;48,99;0,00;71,00;80,02;33,81;179,94;864,68;180,00;829,86;853,84;77,88;0,75
8760;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,03;33,84;179,94;866,35;179,97;830,10;856,60;77,88;0,75
8765;0,00;0,00;0,00;0,00;48,99;0,00;71,00;79,98;33,83;179,96;867,92;179,92;830,26;857,48;77,88;0,75
8770;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;33,82;179,97;867,67;179,90;830,21;857,66;77,88;0,75
8775;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;33,82;179,99;865,57;179,89;829,80;857,02;77,88;0,75
8780;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,03;33,84;180,00;864,05;179,89;829,42;854,70;77,88;0,75
8785;0,00;0,00;0,00;0,00;49,01;0,00;71,01;80,02;33,84;179,97;860,99;179,91;828,76;853,36;77,88;0,75
8790;0,00;0,00;0,00;0,00;49,00;0,00;70,99;80,02;33,83;179,96;860,18;179,93;828,68;851,67;77,88;0,75
8795;0,00;0,00;0,00;0,00;49,01;0,00;71,00;79,98;33,83;179,94;861,07;179,98;829,15;852,52;77,88;0,75
8800;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,03;33,83;179,96;862,81;180,02;829,58;853,82;77,88;0,75
8805;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;33,84;179,96;866,34;180,07;830,22;856,54;77,88;0,75
